title,company_name,technologies
Trainee/Junior Python Developer,Newsoft,"Django, AWS, JavaScript, React, PostgreSQL, FastAPI, Python"
Full Stack Engineer (Python) with knowledge of React/Angular IRC231555,GlobalLogic,"Docker, React, FastAPI, Python, Angular"
Python Engineer,itsoft,"Flask, Git, MongoDB, Kubernetes, AWS, FastAPI, Python, SQL"
Strong Middle/Senior Backend Engineer (Python),KitRUM,"Flask, GraphQL, MongoDB, Kubernetes, Jenkins, RabbitMQ, Python"
Python developer,Onicore,"Git, AWS, PostgreSQL, FastAPI, Python"
"Full-Stack Developer (Python, Vue)",SEDNA,"Django, Git, HTML, CSS, Docker, Celery, JavaScript, PostgreSQL, Angular, Python, SQL, REST"
Senior Python Engineer,Yoverse,"Django, Git, AWS, Docker, Redis, PostgreSQL, Python, SQL"
Python ML/Data Engineer,Gemicle,"Python, TensorFlow, pandas, SQL"
Backend Python Developer,Ogcglobal,"Python, AWS, FastAPI"
Python/Django backend developer,Smart UI,"Django, Git, Celery, Redis, PostgreSQL, Python, REST"
Senior Backend Python Developer,ITExpert,"Kubernetes, MongoDB, Docker, Celery, AWS, Redis, PostgreSQL, RabbitMQ, FastAPI, Python"
Senior Python (Django) Engineer,Enkonix,"Django, AWS, Celery, Python, Azure, SQL"
Trainee Python Developer,Incora,"Python, Django, REST"
Senior Python Developer IRC225993,GlobalLogic,"SQLite, HTML, CSS, AWS, Docker, Python, GitLab"
Senior Python Developer,Leadingads-media,"Python, Django, Git"
Middle+/Senior Python Full Stack Developer (Ads Sales Platform),303 Team,"Ansible, Git, AWS, Docker, PostgreSQL, Python"
"Senior Software engineer (Node.js, Python, LLM)",DigitalSuits,"Python, AWS, Docker, SQL"
Middle Python Developer,RecruitGarden,"Docker, Redis, FastAPI, Python, SQL"
Python-розробник,Diia Company,"Git, MongoDB, JavaScript, PostgreSQL, Python, REST"
Senior Python Backend Engineer,Develux,"GraphQL, Django, Git, MongoDB, Kubernetes, Redis, PostgreSQL, Elasticsearch, RabbitMQ, Python, REST"
"Python developer (Middle, Senior lvls) for Computer Vision, ML, LLM engineering",DeepX,"Python, Docker, pandas"
Middle Python Back-end Developer,Inquatro,"Flask, pytest, AWS, Celery, Docker, unittest, PostgreSQL, MySQL, FastAPI, Python, Scrapy, DynamoDB"
Python Software Engineer,Dataforest,"Cassandra, Git, AWS, Redis, Elasticsearch, FastAPI, Python, SQL"
Junior Python/Django developer,RenovateHub,"Django, Git, PostgreSQL, Python, GitHub, SQL"
"Software Engineer (C, Python)",PLVision,"Python, Docker"
Python AI engineer,ELLO Messenger,"Python, TensorFlow, PyTorch"
Python Backend Developer,Canyon Development,"Python, SQL"
Senior Python Developer,Plexteq,"Python, AWS"
Python UAV Developer,Quantum,Python
Senior Python Developer (who now lives in Warsaw or Wroclaw),YozmaTech,"Django, Celery, RabbitMQ, Python, SQL"
Middle Python Engineer,SQRD.tech,"Python, Flask, Celery"
Senior Backend Engineer (Python),BCD Travel,"Ansible, Django, Docker, Celery, Redis, Terraform, RabbitMQ, Python"
Full-stack Python/Django+ReactJS Web Developer (Middle+),SoftFormance,"Django, Docker, PostgreSQL, MySQL, Python, GitLab"
Python Engineer,PIN-UP Global,"Python, Django, MySQL"
Django Backend Developer. Early stage AI Startup,Zapply AI,Django
Senior Python Developer,Gambling Media Group,"Flask, Django, Redis, Terraform, RabbitMQ, Python, SQL"
Junior Python Developer,Inforce,"Python, Flask, Django, JavaScript"
AI Developer,Beetroot,"TensorFlow, AWS, PyTorch, Python, Azure, SQL"
Senior FullStack (Django/React) Engineer,Fluvius,"Django, MongoDB, AWS, Redis, Python"
Senior Python Backend Engineer,Develux,"GraphQL, Django, Git, MongoDB, Kubernetes, Redis, PostgreSQL, Elasticsearch, RabbitMQ, Python, REST"
Python / TypeScript Developer for Innovative Ad Crawler,Peak Ventures,"Python, MongoDB, JavaScript"
Reef Technologies Senior Python Backend Engineer,Reef Technlogies,Python
Senior Backend Engineer (Python),Deepchecks,"Kubernetes, AWS, Docker, Terraform, FastAPI"
Looking for a Python developer,New Wave Devs,Python
Senior Software Engineer (Python/Go),djeda,AWS
Backend Developer (Python),Volindo,"Python, AWS"
"AI Engineer (Generative NLP, AI Agents, Prompting)",WebLab Technology,"Flask, GraphQL, TensorFlow, AWS, JavaScript, PyTorch, FastAPI, Python"
Senior Backend Developer,Toppan Merrill GmbH,"Flask, Django, MongoDB, Docker, Redis, FastAPI, Python, SQL"
Senior Python Engineer,PLANEKS,"Flask, Django, RabbitMQ, FastAPI, Python, SQL"
Senior Python Engineer,PLANEKS,"Flask, Django, RabbitMQ, FastAPI, Python, SQL"
Lead Python Developer (IRC228175),GlobalLogic,"Kubernetes, AWS, Docker, Python, Azure"
Backend Developer (Python),Graintrack,"Ansible, Docker, PostgreSQL, Python, GitHub, SQL"
Middle Python (Django),PRO Gaming Software,"Git, Django, WebSockets, TensorFlow, PostgreSQL, PyTorch, Python, SQL"
Python Developer,Motorsport Network,"Python, Git, FastAPI"
Sr AI Backend Developer,JustSoftLab,"Python, MongoDB"
Senior Python Engineer,PLANEKS,"Flask, Django, RabbitMQ, FastAPI, Python, SQL"
Python Developer,Software Development Hub,"Python, CSS, PostgreSQL, HTML"
Senior Python Engineer,PLANEKS,"Flask, Django, RabbitMQ, FastAPI, Python, SQL"
Senior Python Engineer,Live Play Mobile,"Python, DynamoDB"
Senior Python Developer,AutoDS,"Flask, MongoDB, Kubernetes, Celery, MySQL, FastAPI, Python"
Senior Data Scientist,Luxoft,Python
"Python/Django Web Developer, Middle+\Senior",SoftFormance,"Django, Docker, Celery, PostgreSQL, MySQL, Python, GitLab"
Senior Python Developer,Numerical Technologies,"Git, AWS, FastAPI, Python, Azure"
Python Developer (Scraping),Dataforest,"Python, AWS, Flask, SQL"
Python ML/Data Engineer,Gemicle,"Python, TensorFlow, pandas, SQL"
Python ML/Data Engineer,Gemicle,"Python, TensorFlow, pandas, SQL"
"Python Developers (Permanent/ requires relocation to Abu Dhabi, UAE)",Aspire Technology,Python
Senior ML Engineer,WinSoft,Python
Python developer,Needplex,Azure
Junior Python Developer,Requestum,"Python, Docker"
Junior Software Engineer,Requestum,"Python, Docker"
Python Developer,Scalr,"Flask, Ansible, Kubernetes, Docker, Chef, Terraform, MySQL, RabbitMQ, Python"
Python Developer (Scraping),Dataforest,"Python, AWS, Flask, SQL"
Middle Python Developer,Patternica,"Python, AWS, MongoDB, SQL"
Python Developer,Cyngular Security,"Python, AWS, Azure"
junior Python,Weem,"Python, PostgreSQL, MongoDB, MySQL"
Algorithms Developer for Fintech SAAS,MoveUp Recruitment agency,"REST, Kubernetes, AWS, Docker, Python, SQL"
Senior Python Developer for an AI system,Synergetica,"Python, PostgreSQL"
Python developer (Middle/Senior),Project Ukraine,"Python, PostgreSQL, Django, REST"
Golang Developer,XPAY GROUP LLC,"Python, JIRA, Redis"
Senior Full-Stack Developer (Python + React),Synergetica,"Python, REST"
Python Developer (AI/ML Specialist),Ai Merchandising Company,"Python, TensorFlow, PyTorch"
Senior Python Developer,Scalr,"Flask, Ansible, Kubernetes, Docker, Chef, Terraform, MySQL, RabbitMQ, Python"
Python Developer,DataRoot Labs,"Python, SQL, REST"
Middle Python Back-End Developer,Kapowai,"Ansible, REST, Docker, Python, SQL"
Python Backend Engineer,SQUAD,"Kubernetes, AWS, Docker, Python, SQL"
Middle Software Engineer (Python or TypeScript) with LLM Experience,COXIT,"Python, GitHub, MongoDB, FastAPI"
Junior Software Engineer (Python or TypeScript) with LLM Experience,COXIT,"Python, GitHub, MongoDB, FastAPI"
Senior Backend Engineer,Logz.io,"Python, Docker, Ansible, Kubernetes"
middle developer python,Property House,"Python, Flask, REST, Docker"
Middle Python Developer,concryt.io,"Django, Docker, Redis, PostgreSQL, FastAPI, Python"
Senior Full-Stack Django Developer,Hygge Software,"Django, pytest, PostgreSQL, Python, SQL, REST"
Python Tech Lead,PLANEKS,"Flask, Django, RabbitMQ, FastAPI, Python, SQL"
Python Tech Lead,PLANEKS,"Flask, Django, RabbitMQ, FastAPI, Python, SQL"
Python Team Lead,PLANEKS,"Flask, Django, RabbitMQ, FastAPI, Python, SQL"
Middle Python Developer,COMPARUS UA,"Kubernetes, Docker, Redis, OpenShift, Python"
"Senior Python Engineer, Business Aviation SaaS",Portside,"GraphQL, Django, REST, pytest, Kubernetes, Docker, Celery, AWS, Redis, Python, SQL"
Backend Developer Python,Lamarkmedia,"Python, Git"
Software Engineer,apolo.us,"DynamoDB, Kubernetes, AWS, Redis, Python, GitHub, SQL"
Lead Python Engineer,PLANEKS,"Flask, Django, RabbitMQ, FastAPI, Python, SQL"
Software Development Engineer (Marketing Platform),SPD Technology,"Python, AWS, DynamoDB, pytest"
Str.Middle/Senior Python Developer 2037/03,Argument,"Python, PostgreSQL, Pyramid, SQL"
Python (Django) Engineer,Enkonix,"Django, AWS, Celery, Python, Azure, SQL"
Junior+ python developer,Evergreen AI business digitalization,"Flask, TensorFlow, PostgreSQL, PyTorch, Python"
Agentic Software Developer,volter.ai,
Middle FullStack Python + NextJS,Schneider,"Flask, NumPy, pytest, MongoDB, unittest, PostgreSQL, FastAPI, Python, SQL"
Backend Developer,Smart UI,"GraphQL, Git, HTML, MongoDB, CSS, Docker, AWS, JavaScript, PostgreSQL, MySQL, Azure"
Python Developer (Scraping),Dataforest,"Python, AWS, Flask, SQL"
Senior Backend engineer (Python),MEGOGO,"MongoDB, Django"
Junior-Middle Software Engineer,GlobalLogic,"HTML, Kubernetes, CSS, Docker, JavaScript"
Backend/Fulllstack developer developer,Qlevio,
Strong Junior Python Developer,Starnavi,"Python, Django, Angular, SQL"
Middle Python Backend Developer,Starnavi,"Flask, Django, Kubernetes, Docker, Python, Angular, SQL"
Odoo Developer (Middle/Senior),Evo Mall,"CSS, HTML"
Python ML/Data Engineer,Gemicle,"Python, TensorFlow, pandas, SQL"
Middle Python Developer (IRC225993),GlobalLogic,"SQLite, HTML, CSS, AWS, Docker, Python, GitLab"
Team Leader Python,Delphi Software,"Python, Azure"
Python Technical Lead in Intelligence Integration Team,(ZONE3000),"Django, Git, MongoDB, Kubernetes, Docker, Celery, AWS, PostgreSQL, Jenkins, MySQL, FastAPI, Python, Azure"
Full Stack Engineer (Django/React),PLANEKS,"Django, Git, DynamoDB, MongoDB, AWS, Celery, JIRA, React, PostgreSQL, MySQL, RabbitMQ, Python, GitHub, REST"
Middle Python (Django) Developer,OTAKOYI,"Django, Git, AWS, Celery, PostgreSQL, FastAPI, Python, REST"
Backend software engineer,FTD Solutions,"Kubernetes, Docker, Jenkins, Python"
Senior Python Developer,PYGIO,"Git, Docker, JavaScript, Python, GitHub"
Senior VLSI Backend Engineer,P-Product,
Middle Python Database Developer Cloud,Nova Digital,"Python, PostgreSQL, NumPy, SQL"
Middle Python Database Developer,Nova Digital,"NumPy, Git, PostgreSQL, Python, SQL"
Middle Python Engineer,Nova Digital,"Python, pandas"
Junior Python Developer (IRC218290),GlobalLogic,"Flask, SQLite, HTML, CSS, Docker, Python, GitLab"
Middle Python Developer,Dataforest,"Flask, AWS, Celery, PostgreSQL, Python"
Junior Python Developer,Clevervol,"Flask, Django, HTML"
Senior React/Python/Django Full Stack Developer,PadSplit,
Backend-developer (Python + PHP),Zviger Auto,SQL
Junior Python Developer,AI Pickles,"Django, TensorFlow, PyTorch, FastAPI, Python"
Python Developer,Jelvix,"Python, AWS, Django, Docker"
Junior Python Developer,Precoro,"Python, Git, MySQL"
Python Developer,Cosmonova Broadcast,"Python, Git, MySQL, SQL"
Python Developer,Ronis Commerce OÜ,"Python, Docker, Git"
Python Developer,Join.To.IT,"Django, Docker, Celery, AWS, Redis, FastAPI, Python"
Senior Python Developer / Tech Lead,VSBD,"Git, Django, TensorFlow, AWS, Docker, React, Jenkins, RabbitMQ, Python, Azure, SQL, REST"
Middle Python AI Engineer,WebLab Technology,"Flask, GraphQL, TensorFlow, AWS, JavaScript, PyTorch, FastAPI, Python"
Senior Developer (Python Flask),Crossbow Soft,"Python, MySQL, SQL"
Python Developer,Digis,"Python, Flask, SQL, FastAPI"
Team Leader Python,Delphi Software,"Python, Azure"
Math + Python Developer,Numerical Technologies,Python
Senior Python Developer,Unikoom,"Flask, Django, AWS, Docker, PostgreSQL, FastAPI, Python"
Python Quant Developer,Peanut Trade,"Python, AWS, pandas, SQL"
Python Developer (LLM/RAG/AZURE experience is a must),Inmost,Python
Junior/Middle Python Developer IRC226561,GlobalLogic,"Python, Flask, MySQL, FastAPI"
Python Developer (Scraping),Dataforest,"Python, AWS, Flask, SQL"
Senior/Lead Python Software Engineer,CodeIT,"Django, Kubernetes, AWS, Celery, Docker, PostgreSQL, RabbitMQ, Python, SQL"
Python Developer,Dataforest,"Python, AWS, Flask, SQL"
Senior Python Engineer,Meest Group,"Cassandra, Django, DynamoDB, MongoDB, Kubernetes, AWS, Celery, Redis, JWT, PostgreSQL, MySQL, Elasticsearch, FastAPI, Python, RabbitMQ, SQL, REST, OAuth"
Python (Django) Developer,PLANEKS,"Flask, Django, HTML, CSS, Celery, Redis, PostgreSQL, MySQL, Python, REST"
Senior Python Developer (AI Domain),vidby AG,"Django, Celery, Redis, PostgreSQL, RabbitMQ, Python, REST"
Python Engineer for Fintech SAAS,MoveUp Recruitment agency,"REST, Kubernetes, AWS, Docker, Python, SQL"
Python Developer,igm.technology,"NumPy, REST, MongoDB, AWS, JavaScript, PostgreSQL, MySQL, Python, Azure, pandas, SQL"
Middle/Senior BackEnd developer Python/Django,Meest China,"Git, AWS, Celery, Redis, JWT, Jenkins, MySQL, SQL"
Senior Software Engineer,Competera,
Senior Python Developer,Intellectsoft,"Flask, AWS, Docker, FastAPI, Python, SQL, Azure"
Senior Python Developer,Ajax Systems,"Git, Docker, AWS, PostgreSQL, Jenkins, MySQL, Python"
